Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  2.86      0.19     0.01  1749998     0.00     0.00  std::atomic<bool>::operator=(bool)
  2.86      0.20     0.01  1587321     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::empty() const
  2.86      0.21     0.01  1105244     0.00     0.00  std::function<void ()>& std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::emplace_back<std::function<void ()> >(std::function<void ()>&&)
  2.86      0.22     0.01  1103191     0.00     0.00  decltype (::new ((void*)(0)) std::function<void ()>((declval<std::function<void ()> >)())) std::construct_at<std::function<void ()>, std::function<void ()> >(std::function<void ()>*, std::function<void ()>&&)
  2.86      0.23     0.01  1014416     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<void (*)(std::_Any_data const&)> >, std::is_move_constructible<void (*)(std::_Any_data const&)>, std::is_move_assignable<void (*)(std::_Any_data const&)> >::value, void>::type std::swap<void (*)(std::_Any_data const&)>(void (*&)(std::_Any_data const&), void (*&)(std::_Any_data const&))
  2.86      0.24     0.01   981489     0.00     0.00  std::function<void ()>::swap(std::function<void ()>&)
  2.86      0.25     0.01   937121     0.00     0.00  std::atomic<int>& std::forward<std::atomic<int>&>(std::remove_reference<std::atomic<int>&>::type&)
  2.86      0.26     0.01   873353     0.00     0.00  std::unique_lock<std::mutex>::lock()
  2.86      0.27     0.01   780417     0.00     0.00  void std::_Function_base::_Base_manager<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_init_functor<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>(std::_Any_data&, benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&)
  2.86      0.28     0.01   744368     0.00     0.00  std::_Function_handler<void (), ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  2.86      0.29     0.01       39     0.26     0.26  std::unique_lock<std::mutex>::~unique_lock()
  2.86      0.30     0.01       10     1.00     1.00  void std::this_thread::sleep_for<long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&)
  2.86      0.31     0.01        1    10.00   124.92  benchmark_scaling()
  2.86      0.32     0.01        1    10.00    39.04  benchmark_throughput(ThreadPool&)
  2.86      0.33     0.01                             void std::_Function_base::_Base_manager<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_create<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1} const&>(std::_Any_data&, benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::integral_constant<bool, true>)
  1.43      0.33     0.01  4186045     0.00     0.00  std::remove_reference<std::function<void ()>&>::type&& std::move<std::function<void ()>&>(std::function<void ()>&)
  1.43      0.34     0.01   984446     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::front()
  1.43      0.34     0.01   778997     0.00     0.00  bool std::_Function_base::_Base_manager<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_not_empty_function<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>(ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1} const&)
  1.43      0.35     0.01   630644     0.00     0.00  ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}::operator()()
  1.43      0.35     0.01   253886     0.00     0.00  void ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)
  0.00      0.35     0.00 17905430     0.00     0.00  std::__is_constant_evaluated()
  0.00      0.35     0.00  8028898     0.00     0.00  std::operator&(std::memory_order, std::__memory_order_modifier)
  0.00      0.35     0.00  4059971     0.00     0.00  __gthread_active_p()
  0.00      0.35     0.00  3376926     0.00     0.00  std::function<void ()>&& std::forward<std::function<void ()> >(std::remove_reference<std::function<void ()> >::type&)
  0.00      0.35     0.00  3206571     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      0.35     0.00  3187421     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.35     0.00  3063777     0.00     0.00  std::remove_reference<void (*&)(std::_Any_data const&)>::type&& std::move<void (*&)(std::_Any_data const&)>(void (*&)(std::_Any_data const&))
  0.00      0.35     0.00  3029466     0.00     0.00  std::remove_reference<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>::type&& std::move<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>(bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation))
  0.00      0.35     0.00  2992153     0.00     0.00  std::remove_reference<std::_Any_data&>::type&& std::move<std::_Any_data&>(std::_Any_data&)
  0.00      0.35     0.00  2207827     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.35     0.00  2180301     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.35     0.00  2177534     0.00     0.00  std::mutex::unlock()
  0.00      0.35     0.00  2161312     0.00     0.00  std::_Any_data::_M_access()
  0.00      0.35     0.00  2097086     0.00     0.00  std::function<void ()>::operator bool() const
  0.00      0.35     0.00  2093972     0.00     0.00  std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*>::_Deque_iterator(std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*> const&)
  0.00      0.35     0.00  2082383     0.00     0.00  std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*>::operator*() const
  0.00      0.35     0.00  1857713     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.35     0.00  1846708     0.00     0.00  std::mutex::lock()
  0.00      0.35     0.00  1597179     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::empty() const
  0.00      0.35     0.00  1588702     0.00     0.00  std::operator==(std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*> const&, std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*> const&)
  0.00      0.35     0.00  1549914     0.00     0.00  ThreadPool::ThreadPool(unsigned int)::{lambda(unsigned int)#1}::operator()(unsigned int) const::{lambda()#1}::operator()() const
  0.00      0.35     0.00  1261517     0.00     0.00  ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}& std::forward<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&>(std::remove_reference<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&>::type&)
  0.00      0.35     0.00  1105633     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::push_back(std::function<void ()>&&)
  0.00      0.35     0.00  1103587     0.00     0.00  std::lock_guard<std::mutex>::~lock_guard()
  0.00      0.35     0.00  1103061     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::push(std::function<void ()>&&)
  0.00      0.35     0.00  1102257     0.00     0.00  void std::allocator_traits<std::allocator<std::function<void ()> > >::construct<std::function<void ()>, std::function<void ()> >(std::allocator<std::function<void ()> >&, std::function<void ()>*, std::function<void ()>&&)
  0.00      0.35     0.00  1101408     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::end()
  0.00      0.35     0.00  1087690     0.00     0.00  std::reference_wrapper<std::atomic<int> >&& std::forward<std::reference_wrapper<std::atomic<int> > >(std::remove_reference<std::reference_wrapper<std::atomic<int> > >::type&)
  0.00      0.35     0.00  1068060     0.00     0.00  std::unique_lock<std::mutex>::unlock()
  0.00      0.35     0.00  1066301     0.00     0.00  void std::destroy_at<std::function<void ()> >(std::function<void ()>*)
  0.00      0.35     0.00  1058965     0.00     0.00  void std::allocator_traits<std::allocator<std::function<void ()> > >::destroy<std::function<void ()> >(std::allocator<std::function<void ()> >&, std::function<void ()>*)
  0.00      0.35     0.00  1058037     0.00     0.00  std::_Deque_base<std::function<void ()>, std::allocator<std::function<void ()> > >::_M_get_Tp_allocator()
  0.00      0.35     0.00  1052363     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::pop_front()
  0.00      0.35     0.00  1046880     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::pop()
  0.00      0.35     0.00  1039395     0.00     0.00  void std::condition_variable::wait<ThreadPool::ThreadPool(unsigned int)::{lambda(unsigned int)#1}::operator()(unsigned int) const::{lambda()#1}>(std::unique_lock<std::mutex>&, ThreadPool::ThreadPool(unsigned int)::{lambda(unsigned int)#1}::operator()(unsigned int) const::{lambda()#1})
  0.00      0.35     0.00  1002357     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<bool (*)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)> >, std::is_move_constructible<bool (*)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>, std::is_move_assignable<bool (*)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)> >::value, void>::type std::swap<bool (*)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>(bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation), bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation))
  0.00      0.35     0.00   993911     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<std::_Any_data> >, std::is_move_constructible<std::_Any_data>, std::is_move_assignable<std::_Any_data> >::value, void>::type std::swap<std::_Any_data>(std::_Any_data&, std::_Any_data&)
  0.00      0.35     0.00   991637     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::front()
  0.00      0.35     0.00   988012     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::begin()
  0.00      0.35     0.00   984956     0.00     0.00  std::function<void ()>::operator=(std::function<void ()>&&)
  0.00      0.35     0.00   957930     0.00     0.00  std::lock_guard<std::mutex>::lock_guard(std::mutex&)
  0.00      0.35     0.00   946602     0.00     0.00  std::reference_wrapper<std::atomic<int> >::_S_fun(std::atomic<int>&)
  0.00      0.35     0.00   943240     0.00     0.00  std::atomic<int>* std::__addressof<std::atomic<int> >(std::atomic<int>&)
  0.00      0.35     0.00   930699     0.00     0.00  std::reference_wrapper<std::atomic<int> >::reference_wrapper<std::atomic<int>&, void, std::atomic<int>*>(std::atomic<int>&)
  0.00      0.35     0.00   916392     0.00     0.00  std::reference_wrapper<std::atomic<int> > std::ref<std::atomic<int> >(std::atomic<int>&)
  0.00      0.35     0.00   902330     0.00     0.00  std::_Any_data::_M_access() const
  0.00      0.35     0.00   899019     0.00     0.00  std::reference_wrapper<std::atomic<int> >::get() const
  0.00      0.35     0.00   892037     0.00     0.00  std::reference_wrapper<std::atomic<int> >::operator std::atomic<int>&() const
  0.00      0.35     0.00   888340     0.00     0.00  ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&& std::forward<ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>(std::remove_reference<ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::type&)
  0.00      0.35     0.00   874394     0.00     0.00  std::function<void ()>::operator()() const
  0.00      0.35     0.00   783345     0.00     0.00  void std::_Function_base::_Base_manager<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_create<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>(std::_Any_data&, benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::integral_constant<bool, true>)
  0.00      0.35     0.00   777891     0.00     0.00  std::function<void ()>::function<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}, void>(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&)
  0.00      0.35     0.00   774782     0.00     0.00  benchmark_scaling()::{lambda(std::atomic<int>&)#1}&& std::forward<benchmark_scaling()::{lambda(std::atomic<int>&)#1}>(std::remove_reference<benchmark_scaling()::{lambda(std::atomic<int>&)#1}>::type&)
  0.00      0.35     0.00   753062     0.00     0.00  ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}& std::_Any_data::_M_access<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>()
  0.00      0.35     0.00   751783     0.00     0.00  std::_Function_base::_Base_manager<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_destroy(std::_Any_data&, std::integral_constant<bool, true>)
  0.00      0.35     0.00   750097     0.00     0.00  std::_Function_base::_Base_manager<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.35     0.00   658323     0.00     0.00  void ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)
  0.00      0.35     0.00   650393     0.00     0.00  benchmark_scaling()::{lambda(std::atomic<int>&)#1}::operator()(std::atomic<int>&) const
  0.00      0.35     0.00   638879     0.00     0.00  ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1} const& std::_Any_data::_M_access<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>() const
  0.00      0.35     0.00   637926     0.00     0.00  std::_Function_base::_Base_manager<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_get_pointer(std::_Any_data const&)
  0.00      0.35     0.00   633815     0.00     0.00  ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1} const* std::__addressof<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1} const>(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&)
  0.00      0.35     0.00   633108     0.00     0.00  void std::__invoke_impl<void, ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&>(std::__invoke_other, ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&)
  0.00      0.35     0.00   632020     0.00     0.00  std::enable_if<is_invocable_r_v<void, ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&>, void>::type std::__invoke_r<void, ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&>(ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&)
  0.00      0.35     0.00   631260     0.00     0.00  std::_Function_handler<void (), ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_invoke(std::_Any_data const&)
  0.00      0.35     0.00   482051     0.00     0.00  ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}& std::forward<ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&>(std::remove_reference<ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&>::type&)
  0.00      0.35     0.00   418925     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.35     0.00   296210     0.00     0.00  void std::_Function_base::_Base_manager<ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_create<ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>(std::_Any_data&, benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::integral_constant<bool, true>)
  0.00      0.35     0.00   295923     0.00     0.00  void std::_Function_base::_Base_manager<ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_init_functor<ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>(std::_Any_data&, benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&)
  0.00      0.35     0.00   295310     0.00     0.00  bool std::_Function_base::_Base_manager<ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::_M_not_empty_function<ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>(ThreadPool::submit<benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_throughput(ThreadPool&)::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1} const&)
